"","county_origin","temperature","Date"
"1","Antártica Chilena",278.302457024069,17
"2","Antofagasta",287.07063403572,17
"3","Arauco",282.918395996094,17
"4","Arica",288.576627291166,17
"5","Aysén",281.093530564081,17
"6","Bío-Bío",281.903970947266,17
"7","Cachapoal",280.792330423991,17
"8","Capitán Prat",277.929171937885,17
"9","Cardenal Caro",286.674346923828,17
"10","Cauquenes",284.462554931641,17
"11","Cautín",282.540873209635,17
"12","Provincia de Chacabuco",285.250620524089,17
"13","Chañaral",281.03306833903,17
"14","Chiloe",283.748405456543,17
"15","Choapa",281.536459530101,17
"16","Colchagua",283.12784249442,17
"17","Provincia de Concepción",284.208941650391,17
"18","Copiapó",281.168253995934,17
"19","Provincia de Cordillera",271.218078613281,17
"20","Coyhaique",278.241177978516,17
"21","Curicó",279.891116055575,17
"22","Diguillín",282.979339599609,17
"23","El Loa",281.821625273106,17
"24","Provincia de Elqui",279.60195688101,17
"25","General Carrera",277.903346849524,17
"26","Huasco",282.370772141677,17
"27","Iquique",289.388559977214,17
"28","Isla de Pascua",NA,17
"29","Itata",284.422164916992,17
"30","Limarí",281.759029990748,17
"31","Linares",282.181890487671,17
"32","Llanquihue",281.128783005935,17
"33","Los Andes",272.936981201172,17
"34","Magallanes",280.517299876494,17
"35","Provincia de Maipo",286.170684814453,17
"36","Malleco",280.633140232252,17
"37","Marga Marga",285.930267333984,17
"38","Melipilla",286.257319132487,17
"39","Osorno",282.004470825195,17
"40","Palena",278.467318021334,17
"41","Parinacota",280.39043079723,17
"42","Petorca",282.438842773438,17
"43","Punilla",283.043728637695,17
"44","Quillota",286.354522705078,17
"45","Ranco",282.056237357003,17
"46","San Antonio",286.547882080078,17
"47","San Felipe",282.425704956055,17
"48","Provincia de Santiago",279.455543518066,17
"49","Talagante",286.494323730469,17
"50","Talca",282.466087341309,17
"51","Tamarugal",287.624896014178,17
"52","Tierra del Fuego",280.439743041992,17
"53","Tocopilla",291.802968805487,17
"54","Ultima Esperanza",278.584602355957,17
"55","Valdivia",282.203629557292,17
"56","Provincia de Valparaíso",285.674662272135,17
"57","Antártica Chilena",277.242716172162,18
"58","Antofagasta",287.02098036304,18
"59","Arauco",283.766350640191,18
"60","Arica",287.503065842849,18
"61","Aysén",280.674392700195,18
"62","Bío-Bío",282.391040039062,18
"63","Cachapoal",282.913024902344,18
"64","Capitán Prat",277.395768136689,18
"65","Cardenal Caro",287.712870279948,18
"66","Cauquenes",285.022955322266,18
"67","Cautín",283.175041707357,18
"68","Provincia de Chacabuco",288.379872639974,18
"69","Chañaral",281.69081624349,18
"70","Chiloe",283.559720993042,18
"71","Choapa",283.477515725529,18
"72","Colchagua",284.581970214844,18
"73","Provincia de Concepción",285.504382324219,18
"74","Copiapó",282.313196299027,18
"75","Provincia de Cordillera",274.231220245361,18
"76","Coyhaique",278.798474121094,18
"77","Curicó",281.157606645064,18
"78","Diguillín",283.606498718262,18
"79","El Loa",282.104963916843,18
"80","Provincia de Elqui",281.367811936599,18
"81","General Carrera",277.127928360649,18
"82","Huasco",283.408346322867,18
"83","Iquique",288.719909667969,18
"84","Isla de Pascua",NA,18
"85","Itata",285.195129394531,18
"86","Limarí",283.766058670847,18
"87","Linares",282.492568969727,18
"88","Llanquihue",282.050309401292,18
"89","Los Andes",276.769342041016,18
"90","Magallanes",278.054939539292,18
"91","Provincia de Maipo",288.778900146484,18
"92","Malleco",280.602366571841,18
"93","Marga Marga",287.338226318359,18
"94","Melipilla",288.360198974609,18
"95","Osorno",283.010864257812,18
"96","Palena",279.769855205829,18
"97","Parinacota",279.864590731534,18
"98","Petorca",284.587626139323,18
"99","Punilla",283.750057983398,18
"100","Quillota",287.417419433594,18
"101","Ranco",282.973626273019,18
"102","San Antonio",287.384902954102,18
"103","San Felipe",285.299560546875,18
"104","Provincia de Santiago",283.223731994629,18
"105","Talagante",288.903411865234,18
"106","Talca",283.082405090332,18
"107","Tamarugal",286.785329748083,18
"108","Tierra del Fuego",278.228725930919,18
"109","Tocopilla",291.092171408913,18
"110","Ultima Esperanza",277.607375590006,18
"111","Valdivia",282.949877929687,18
"112","Provincia de Valparaíso",286.549560546875,18
"113","Antártica Chilena",280.275792738971,19
"114","Antofagasta",287.218909509403,19
"115","Arauco",285.238894992405,19
"116","Arica",287.990891676683,19
"117","Aysén",282.271227518717,19
"118","Bío-Bío",283.517366943359,19
"119","Cachapoal",283.402949015299,19
"120","Capitán Prat",279.482037168561,19
"121","Cardenal Caro",285.503204345703,19
"122","Cauquenes",284.660388183594,19
"123","Cautín",285.345982869466,19
"124","Provincia de Chacabuco",287.338002522786,19
"125","Chañaral",282.166852315267,19
"126","Chiloe",284.302316665649,19
"127","Choapa",283.387876622817,19
"128","Colchagua",284.412654331752,19
"129","Provincia de Concepción",285.333599853516,19
"130","Copiapó",282.773222631338,19
"131","Provincia de Cordillera",275.589855194092,19
"132","Coyhaique",280.717790527344,19
"133","Curicó",282.056268865412,19
"134","Diguillín",284.325649261475,19
"135","El Loa",283.330897961633,19
"136","Provincia de Elqui",281.76080087515,19
"137","General Carrera",279.440498683764,19
"138","Huasco",283.770480816181,19
"139","Iquique",288.942840576172,19
"140","Isla de Pascua",NA,19
"141","Itata",284.517822265625,19
"142","Limarí",283.630573473479,19
"143","Linares",283.452121734619,19
"144","Llanquihue",283.399147620568,19
"145","Los Andes",277.588671875,19
"146","Magallanes",282.640576889936,19
"147","Provincia de Maipo",288.177337646484,19
"148","Malleco",283.395848813264,19
"149","Marga Marga",285.919281005859,19
"150","Melipilla",286.75282796224,19
"151","Osorno",284.594095230103,19
"152","Palena",281.431369488056,19
"153","Parinacota",279.069893576882,19
"154","Petorca",284.48057047526,19
"155","Punilla",284.241549682617,19
"156","Quillota",285.807403564453,19
"157","Ranco",284.998859950474,19
"158","San Antonio",285.301330566406,19
"159","San Felipe",285.185020446777,19
"160","Provincia de Santiago",282.664237976074,19
"161","Talagante",287.355895996094,19
"162","Talca",283.520853042603,19
"163","Tamarugal",287.244471232096,19
"164","Tierra del Fuego",282.792449951172,19
"165","Tocopilla",291.553357211026,19
"166","Ultima Esperanza",280.505764516195,19
"167","Valdivia",284.705521647135,19
"168","Provincia de Valparaíso",285.531514485677,19
"169","Antártica Chilena",279.367578843061,20
"170","Antofagasta",286.469671190399,20
"171","Arauco",284.357279459635,20
"172","Arica",288.152479905349,20
"173","Aysén",280.269164675758,20
"174","Bío-Bío",282.810389404297,20
"175","Cachapoal",283.119087219238,20
"176","Capitán Prat",277.243959831469,20
"177","Cardenal Caro",287.344243367513,20
"178","Cauquenes",284.891351318359,20
"179","Cautín",284.251815795898,20
"180","Provincia de Chacabuco",286.657033284505,20
"181","Chañaral",280.959285312229,20
"182","Chiloe",283.20096206665,20
"183","Choapa",282.906582103056,20
"184","Colchagua",285.001482282366,20
"185","Provincia de Concepción",285.280249023437,20
"186","Copiapó",281.172782430843,20
"187","Provincia de Cordillera",273.635707855225,20
"188","Coyhaique",279.121956787109,20
"189","Curicó",282.177853670987,20
"190","Diguillín",284.008529663086,20
"191","El Loa",281.059679968882,20
"192","Provincia de Elqui",280.401695838341,20
"193","General Carrera",277.334497866423,20
"194","Huasco",282.706406813401,20
"195","Iquique",288.546376546224,20
"196","Isla de Pascua",NA,20
"197","Itata",285.170761108398,20
"198","Limarí",283.082641601562,20
"199","Linares",283.957977294922,20
"200","Llanquihue",282.692258394682,20
"201","Los Andes",276.01787109375,20
"202","Magallanes",280.830906407973,20
"203","Provincia de Maipo",287.120086669922,20
"204","Malleco",282.04756894319,20
"205","Marga Marga",286.817779541016,20
"206","Melipilla",287.378387451172,20
"207","Osorno",283.7854347229,20
"208","Palena",280.152043269231,20
"209","Parinacota",279.767123135653,20
"210","Petorca",284.23551940918,20
"211","Punilla",284.267587280273,20
"212","Quillota",287.205139160156,20
"213","Ranco",283.662564958845,20
"214","San Antonio",286.918029785156,20
"215","San Felipe",284.652709960938,20
"216","Provincia de Santiago",281.606346130371,20
"217","Talagante",287.684234619141,20
"218","Talca",284.011274337769,20
"219","Tamarugal",286.73375278049,20
"220","Tierra del Fuego",281.841589886209,20
"221","Tocopilla",290.606327403675,20
"222","Ultima Esperanza",278.50389175415,20
"223","Valdivia",283.528025309245,20
"224","Provincia de Valparaíso",286.252451578776,20
"225","Antártica Chilena",278.207545560949,21
"226","Antofagasta",287.202805666579,21
"227","Arauco",283.902862548828,21
"228","Arica",288.190082256611,21
"229","Aysén",279.05812399728,21
"230","Bío-Bío",282.037308349609,21
"231","Cachapoal",283.874366760254,21
"232","Capitán Prat",275.607672026663,21
"233","Cardenal Caro",289.298161824544,21
"234","Cauquenes",285.658148193359,21
"235","Cautín",281.53202718099,21
"236","Provincia de Chacabuco",289.722696940104,21
"237","Chañaral",282.299352010091,21
"238","Chiloe",282.033987045288,21
"239","Choapa",284.692905201631,21
"240","Colchagua",285.907339913504,21
"241","Provincia de Concepción",286.007250976562,21
"242","Copiapó",283.202071832151,21
"243","Provincia de Cordillera",274.916400909424,21
"244","Coyhaique",276.694431152344,21
"245","Curicó",282.792788418857,21
"246","Diguillín",283.513935089111,21
"247","El Loa",281.591053073689,21
"248","Provincia de Elqui",282.913224440355,21
"249","General Carrera",275.898653776749,21
"250","Huasco",285.262599064754,21
"251","Iquique",288.644348144531,21
"252","Isla de Pascua",NA,21
"253","Itata",285.781265258789,21
"254","Limarí",285.340010793586,21
"255","Linares",283.543510437012,21
"256","Llanquihue",279.516532311073,21
"257","Los Andes",276.878686523438,21
"258","Magallanes",280.068776568244,21
"259","Provincia de Maipo",289.872100830078,21
"260","Malleco",279.934413744056,21
"261","Marga Marga",289.550323486328,21
"262","Melipilla",289.439768473307,21
"263","Osorno",281.117849349976,21
"264","Palena",277.342003455529,21
"265","Parinacota",279.736244895241,21
"266","Petorca",286.270929972331,21
"267","Punilla",283.95754699707,21
"268","Quillota",289.348510742188,21
"269","Ranco",280.317027500698,21
"270","San Antonio",288.903366088867,21
"271","San Felipe",286.861129760742,21
"272","Provincia de Santiago",283.817649841309,21
"273","Talagante",289.762176513672,21
"274","Talca",284.281482696533,21
"275","Tamarugal",286.960250289352,21
"276","Tierra del Fuego",280.04161270805,21
"277","Tocopilla",291.05341685902,21
"278","Ultima Esperanza",277.59305267334,21
"279","Valdivia",280.987538655599,21
"280","Provincia de Valparaíso",288.269063313802,21
